well,fov,nuclei
E09,E09_0002,0
E09,E09_0003,0
E09,E09_0004,0
E09,E09_0005,0
E09,E09_0006,0
E09,E09_0007,0
E09,E09_0008,0
E09,E09_0009,0
E10,E10_0001,0
E10,E10_0002,0
E10,E10_0003,0
E10,E10_0004,0
E10,E10_0005,0
E10,E10_0006,0
E10,E10_0007,0
E10,E10_0008,0
E10,E10_0009,0
E11,E11_0001,0
E11,E11_0002,0
E11,E11_0003,0
E11,E11_0004,0
E11,E11_0005,0
E11,E11_0006,0
E11,E11_0007,0
E11,E11_0008,0
E11,E11_0009,0
F02,F02_0001,0
F02,F02_0002,0
F02,F02_0003,0
F02,F02_0004,0
F02,F02_0005,0
F02,F02_0006,0
F02,F02_0007,0
F02,F02_0008,0
F02,F02_0009,0
F03,F03_0001,0
F03,F03_0002,0
F03,F03_0003,0
F03,F03_0004,0
F03,F03_0005,0
F03,F03_0006,0
F03,F03_0007,0
F03,F03_0008,0
F03,F03_0009,0
F04,F04_0001,0
F04,F04_0002,0
F04,F04_0003,0
F04,F04_0004,0
F04,F04_0005,0
F04,F04_0006,0
F04,F04_0007,0
F04,F04_0008,0
F04,F04_0009,0
F05,F05_0001,0
F05,F05_0002,0
F05,F05_0003,0
F05,F05_0004,0
F05,F05_0005,0
F05,F05_0006,0
F05,F05_0007,0
F05,F05_0008,0
F05,F05_0009,0
F06,F06_0001,0
F06,F06_0002,0
F06,F06_0003,0
F06,F06_0004,0
F06,F06_0005,0
F06,F06_0006,0
F06,F06_0007,0
F06,F06_0008,0
F06,F06_0009,0
F07,F07_0001,0
F07,F07_0002,0
F07,F07_0003,0
F07,F07_0004,0
F07,F07_0005,0
F07,F07_0006,0
F07,F07_0007,0
F07,F07_0008,0
F07,F07_0009,0
F08,F08_0001,0
F08,F08_0002,0
F08,F08_0003,0
F08,F08_0004,0
F08,F08_0005,0
F08,F08_0006,0
F08,F08_0007,0
F08,F08_0008,0
F08,F08_0009,0
F09,F09_0001,0
F09,F09_0002,0
F09,F09_0003,0
F09,F09_0004,0
F09,F09_0005,0
F09,F09_0006,0
F09,F09_0007,0
F09,F09_0008,0
F09,F09_0009,0
F10,F10_0001,0
F10,F10_0002,0
F10,F10_0003,0
F10,F10_0004,0
F10,F10_0005,0
F10,F10_0006,0
F10,F10_0007,0
F10,F10_0008,0
F10,F10_0009,0
F11,F11_0001,0
F11,F11_0002,0
F11,F11_0003,0
F11,F11_0004,0
F11,F11_0005,0
F11,F11_0006,0
F11,F11_0007,0
F11,F11_0008,0
F11,F11_0009,0
G02,G02_0001,0
G02,G02_0002,0
G02,G02_0003,0
G02,G02_0004,0
G02,G02_0005,0
G02,G02_0006,0
G02,G02_0007,0
G02,G02_0008,0
G02,G02_0009,0
G03,G03_0001,0
G03,G03_0002,0
G03,G03_0003,0
G03,G03_0004,0
G03,G03_0005,0
G03,G03_0006,0
G03,G03_0007,0
G03,G03_0008,0
G03,G03_0009,0
G04,G04_0001,0
G04,G04_0002,0
G04,G04_0003,0
G04,G04_0004,0
G04,G04_0005,0
G04,G04_0006,0
G04,G04_0007,0
G04,G04_0008,0
G04,G04_0009,0
G05,G05_0001,0
G05,G05_0002,0
G05,G05_0003,0
G05,G05_0004,0
G05,G05_0005,0
G05,G05_0006,0
G05,G05_0007,0
G05,G05_0008,0
G05,G05_0009,0
G06,G06_0001,0
G06,G06_0002,0
G06,G06_0003,0
G06,G06_0004,0
G06,G06_0005,0
G06,G06_0006,0
G06,G06_0007,0
G06,G06_0008,0
G06,G06_0009,0
G07,G07_0001,0
G07,G07_0002,0
G07,G07_0003,0
G07,G07_0004,0
G07,G07_0005,0
G07,G07_0006,0
G07,G07_0007,0
G07,G07_0008,0
G07,G07_0009,0
G08,G08_0001,0
G08,G08_0002,0
G08,G08_0003,0
G08,G08_0004,0
G08,G08_0005,0
G08,G08_0006,0
G08,G08_0007,0
G08,G08_0008,0
G08,G08_0009,0
G09,G09_0001,0
G09,G09_0002,0
G09,G09_0003,0
G09,G09_0004,0
G09,G09_0005,0
G09,G09_0006,0
G09,G09_0007,0
G09,G09_0008,0
G09,G09_0009,0
G10,G10_0001,0
G10,G10_0002,0
G10,G10_0003,0
G10,G10_0004,0
G10,G10_0005,0
G10,G10_0006,0
G10,G10_0007,0
G10,G10_0008,0
G10,G10_0009,0
G11,G11_0001,0
G11,G11_0002,0
G11,G11_0003,0
G11,G11_0004,0
G11,G11_0005,0
G11,G11_0006,0
G11,G11_0007,0
G11,G11_0008,0
G11,G11_0009,0
